,,,1.508,-0.0592
,,,1.51,-0.0552
,,,1.512,-0.0504
,,,1.514,-0.0432
,,,1.516,-0.0336
,,,1.518,-0.0264
,,,1.52,-0.0168
,,,1.522,-0.008
,,,1.524,0.0016
,,,1.526,0.0112
,,,1.528,0.02
,,,1.53,0.028
,,,1.532,0.036
,,,1.534,0.0432
,,,1.536,0.0488
,,,1.538,0.052
,,,1.54,0.0552
,,,1.542,0.056
,,,1.544,0.0552
,,,1.546,0.0528
,,,1.548,0.0504
,,,1.55,0.0432
,,,1.552,0.0368
,,,1.554,0.028
,,,1.556,0.0176
,,,1.558,0.008
,,,1.56,-0.004
,,,1.562,-0.0144
,,,1.564,-0.0264
,,,1.566,-0.0368
,,,1.568,-0.044
,,,1.57,-0.052
,,,1.572,-0.0568
,,,1.574,-0.0592
,,,1.576,-0.0584
,,,1.578,-0.0576
,,,1.58,-0.0552
,,,1.582,-0.0488
,,,1.584,-0.0432
,,,1.586,-0.0344
,,,1.588,-0.0256
,,,1.59,-0.0168
,,,1.592,-0.008
,,,1.594,0.0032
,,,1.596,0.012
,,,1.598,0.0208
,,,1.6,0.0296
,,,1.602,0.036
,,,1.604,0.0416
,,,1.606,0.0456
,,,1.608,0.0512
,,,1.61,0.0536
,,,1.612,0.0552
,,,1.614,0.0552
,,,1.616,0.0536
,,,1.618,0.0496
,,,1.62,0.044
,,,1.622,0.036
,,,1.624,0.0272
,,,1.626,0.0168
,,,1.628,0.0064
,,,1.63,-0.0048
,,,1.632,-0.0152
,,,1.634,-0.0256
,,,1.636,-0.0344
,,,1.638,-0.0448
,,,1.64,-0.0504
,,,1.642,-0.0552
,,,1.644,-0.0592
,,,1.646,-0.06
,,,1.648,-0.0576
,,,1.65,-0.0536
,,,1.652,-0.0488
,,,1.654,-0.0416
,,,1.656,-0.032
,,,1.658,-0.0248
,,,1.66,-0.016
,,,1.662,-0.0064
,,,1.664,0.0024
,,,1.666,0.0104
,,,1.668,0.02
,,,1.67,0.0272
,,,1.672,0.036
,,,1.674,0.0424
,,,1.676,0.0472
,,,1.678,0.0512
,,,1.68,0.0544
,,,1.682,0.0552
,,,1.684,0.0536
,,,1.686,0.0512
,,,1.688,0.048
,,,1.69,0.0424
,,,1.692,0.036
,,,1.694,0.028
,,,1.696,0.0176
,,,1.698,0.0072
,,,1.7,-0.0048
,,,1.702,-0.0144
,,,1.704,-0.0272
,,,1.706,-0.0352
,,,1.708,-0.044
,,,1.71,-0.0504
,,,1.712,-0.0552
,,,1.714,-0.0568
,,,1.716,-0.0584
,,,1.718,-0.056
,,,1.72,-0.0528
,,,1.722,-0.048
,,,1.724,-0.0416
,,,1.726,-0.0344
,,,1.728,-0.0256
,,,1.73,-0.0168
,,,1.732,-0.0064
,,,1.734,0.0032
,,,1.736,0.0128
,,,1.738,0.02
,,,1.74,0.028
,,,1.742,0.0352
,,,1.744,0.04
,,,1.746,0.0456
,,,1.748,0.0496
,,,1.75,0.052
,,,1.752,0.0544
,,,1.754,0.0536
,,,1.756,0.052
,,,1.758,0.048
,,,1.76,0.0432
,,,1.762,0.036
,,,1.764,0.0264
,,,1.766,0.0168
,,,1.768,0.0064
,,,1.77,-0.0048
,,,1.772,-0.0152
,,,1.774,-0.0256
,,,1.776,-0.0336
,,,1.778,-0.0432
,,,1.78,-0.0488
,,,1.782,-0.0544
,,,1.784,-0.0576
,,,1.786,-0.0576
,,,1.788,-0.056
,,,1.79,-0.0528
